machine_id,timestamp,a_rms_mps2_mean,a_rms_mps2_std,a_rms_mps2_max,a_rms_mps2_min,a_rms_mps2_rms,a_rms_mps2_kurtosis,a_rms_mps2_skew,a_rms_mps2_crest_factor,a_rms_mps2_trend_slope,v_rms_mms_mean,v_rms_mms_std,v_rms_mms_max,v_rms_mms_min,v_rms_mms_rms,v_rms_mms_kurtosis,v_rms_mms_skew,v_rms_mms_crest_factor,v_rms_mms_trend_slope,a_peak_mps2_mean,a_peak_mps2_std,a_peak_mps2_max,a_peak_mps2_min,a_peak_mps2_rms,a_peak_mps2_kurtosis,a_peak_mps2_skew,a_peak_mps2_crest_factor,a_peak_mps2_trend_slope,crest_factor_mean,crest_factor_std,crest_factor_max,crest_factor_min,crest_factor_rms,crest_factor_kurtosis,crest_factor_skew,crest_factor_crest_factor,crest_factor_trend_slope,temperature_c_mean,temperature_c_std,temperature_c_max,temperature_c_min,temperature_c_rms,temperature_c_kurtosis,temperature_c_skew,temperature_c_crest_factor,temperature_c_trend_slope,a_rms_mps2_v_rms_mms_corr,a_rms_mps2_a_peak_mps2_corr,a_rms_mps2_crest_factor_corr,a_rms_mps2_temperature_c_corr,v_rms_mms_a_peak_mps2_corr,v_rms_mms_crest_factor_corr,v_rms_mms_temperature_c_corr,a_peak_mps2_crest_factor_corr,a_peak_mps2_temperature_c_corr,crest_factor_temperature_c_corr
B16-MTV-06,2025-05-31 14:16:44.963676,0.18000000000000002,0.04216370213557879,0.2,0.1,0.18439088914585777,1.4062499999999956,-1.778781183844712,1.0846522890932808,0.007272727272727281,8.999999999999999e-05,3.162277660168397e-05,0.0001,0.0,9.486832980505138e-05,10.000000000000007,-3.1622776601683817,1.0540925533894598,3.0303030303030343e-06,0.9100000000000001,0.08755950357709669,1.1,0.8,0.9137833441248534,1.830947880097229,1.017941298675075,1.203786441362082,0.018787878787878763,4.95,0.732196087882949,6.0,4.0,4.998499774932475,-1.1298435624350422,-0.07217976414685628,1.2003601620810425,-0.13515151515151502,34.690000000000005,0.03162277660178794,34.7,34.6,34.690012972035625,10.00000000000134,-3.1622776601686318,1.0002878934629522,-0.005454545454544459,0.666666666666656,0.06019292654286536,-0.7198157507486992,-0.16666666666646793,0.04012861769525469,-0.5038710255240927,-0.11111111111008468,0.18197682975872315,-0.7624437362069625,-0.2159447252242496
B16-MTV-06,2025-05-31 14:16:46.963755,0.19,0.03162277660168428,0.2,0.1,0.19235384061671348,9.999999999999995,-3.162277660168379,1.0397504898200725,0.00545454545454547,8.999999999999999e-05,3.162277660168397e-05,0.0001,0.0,9.486832980505138e-05,10.000000000000007,-3.1622776601683817,1.0540925533894598,5.454545454545455e-06,0.9000000000000001,0.09428090415821146,1.1,0.8,0.9044335243676012,1.1852678571428523,0.9943689110435794,1.2162309007388277,-0.0012121212121211672,4.82,0.6494442068243865,6.0,4.0,4.859218044088987,-0.3555322263371141,0.21405187837560083,1.234766570579956,-0.06787878787878791,34.67,0.048304589154029375,34.7,34.6,34.670030285536235,-1.224489795918464,-1.0350983390134758,1.0008644271209728,-0.012727272727272849,0.9999999999999809,-1.0343892305196252e-14,-0.6384070152751777,-0.21821789023583477,-5.050728664646655e-15,-0.638407015275189,-0.21821789023534985,0.25405043349853007,8.667733845754593e-13,-0.22667687916254978
B16-MTV-06,2025-05-31 14:24:21.163431,0.18000000000000002,0.04216370213557879,0.2,0.1,0.18439088914585777,1.4062499999999956,-1.778781183844712,1.0846522890932808,1.1325102374607747e-17,7e-05,4.8304589153964916e-05,0.0001,0.0,8.366600265340754e-05,-1.224489795918368,-1.0350983390135318,1.1952286093343938,-1.8181818181818204e-06,0.89,0.11005049346146563,1.1,0.7,0.8961026726887942,0.9068500727452005,0.2375890208977767,1.2275379077928685,-0.006666666666666642,4.87,0.6111010100175096,6.1,4.1,4.904385792329148,0.7397689161681202,1.0442032433091617,1.2437846976762899,-0.046666666666666315,34.61,0.031622776601752216,34.7,34.6,34.6100130020201,10.00000000000134,3.1622776601686318,1.0026000278582574,0.005454545454548447,0.7637626158259653,0.4310218283494958,-0.37085505548786857,0.1666666666659161,0.5643400441685296,-0.22207931440571557,0.21821789023580102,0.5402568069309905,0.03192754283942597,-0.32773237461591437
B16-MTV-06,2025-05-31 14:24:23.163543,0.18,0.04216370213557879,0.2,0.1,0.18439088914585777,1.4062499999999956,-1.778781183844712,1.0846522890932808,0.004848484848484855,7.000000000000001e-05,4.8304589153964916e-05,0.0001,0.0,8.366600265340756e-05,-1.224489795918368,-1.0350983390135318,1.1952286093343936,5.45454545454545e-06,0.9,0.11547005383792922,1.1,0.7,0.906642156531451,0.08035714285714546,3.912277600878018e-17,1.2132680926819903,0.013333333333333334,4.909999999999999,0.6172519744804212,6.1,4.1,4.944795243485821,0.18405179667502436,0.7938127741100593,1.233620342123574,-0.04303030303030284,34.63,0.048304589154017676,34.7,34.6,34.63003032051806,-1.2244897959175063,1.0350983390140276,1.0020204914299624,0.012727272727271715,0.7637626158259644,0.4564354645876185,-0.333005087726062,0.3273268353538334,0.5976143046671726,-0.17514771184756173,0.42857142857068475,0.5768027980792616,0.3984095364448346,-0.16024152360506455
B16-MTV-06,2025-05-31 14:24:24.163549,0.18,0.04216370213557879,0.2,0.1,0.18439088914585777,1.4062499999999956,-1.778781183844712,1.0846522890932808,0.007272727272727281,7e-05,4.8304589153964916e-05,0.0001,0.0,8.366600265340754e-05,-1.224489795918368,-1.0350983390135318,1.1952286093343938,9.090909090909088e-06,0.9,0.11547005383792922,1.1,0.7,0.906642156531451,0.08035714285714546,1.956138800439009e-17,1.2132680926819903,0.013333333333333334,4.93,0.6201254353399281,6.1,4.1,4.964977341338025,-0.04452469549455085,0.6658344782592831,1.2286058083713418,-0.033333333333333146,34.64,0.051639777949484995,34.7,34.6,34.64003464201501,-2.2767857142856305,0.4841229182760304,1.0017310998272577,0.014545454545457245,0.7637626158259663,0.4564354645876185,-0.31446399593357943,0.40824829046430355,0.5976143046671754,-0.1520804572789218,0.5345224838244108,0.5741300803201097,0.3726779962487024,-0.11103082270433934
B16-MTV-06,2025-05-31 14:24:25.164016,0.18000000000000002,0.04216370213557879,0.2,0.1,0.18439088914585777,1.4062499999999956,-1.778781183844712,1.0846522890932808,0.009696969696969699,7.000000000000001e-05,4.8304589153964916e-05,0.0001,0.0,8.366600265340754e-05,-1.224489795918368,-1.0350983390135318,1.1952286093343938,1.2727272727272727e-05,0.89,0.11972189997379055,1.1,0.7,0.897217922246318,-0.36853897859846807,0.23309834500034193,1.2260120676657764,0.007878787878787886,4.9799999999999995,0.6373556481448999,6.1,4.1,5.0165725351080095,-0.6830120514274505,0.37413543146563416,1.2159696600237961,-0.009696969696969602,34.650000000000006,0.05270462766952751,34.7,34.6,34.6500360750173,-2.5714285714285707,2.5276972409258427e-13,1.0014419588157004,0.015151515151516462,0.7637626158259635,0.39620290784651874,-0.2646164806622504,0.49999999999920103,0.5187513759337921,-0.09383408146415957,0.6546536707071959,0.47761273146692945,0.26413527189678937,-0.03307706008290554
B16-MTV-06,2025-05-31 14:24:27.163111,0.18000000000000002,0.04216370213557879,0.2,0.1,0.18439088914585777,1.4062500000000053,-1.7787811838447143,1.0846522890932808,-0.00969696969696969,8.000000000000002e-05,4.216370213557854e-05,0.0001,0.0,8.944271909999159e-05,1.4062500000000053,-1.7787811838447156,1.118033988749895,2.05737461969659e-21,0.8700000000000001,0.1337493509849298,1.1,0.7,0.8792041856133307,-0.8516536509283674,0.3343604777525283,1.2511314413643775,-0.022424242424242416,4.91,0.4863697724525387,5.7,4.1,4.931632589721176,-0.30679464797675404,-0.17730886077247607,1.155803863385992,0.043030303030303176,34.67,0.048304589154029375,34.7,34.6,34.670030285536235,-1.2244897959184624,-1.0350983390134763,1.0008644271209728,0.012727272727272245,0.3749999999999926,0.6698938453032014,-0.04334531515287353,-0.3273268353537541,0.4728662437434403,0.17338126061150375,0.21821789023558688,0.3808939673606883,-0.15478181111092448,0.15606893320013948
B16-MTV-06,2025-05-31 14:24:28.163408,0.18,0.04216370213557879,0.2,0.1,0.18439088914585777,1.4062499999999956,-1.778781183844712,1.0846522890932808,-0.0072727272727272745,9e-05,3.1622776601684005e-05,0.0001,0.0,9.486832980505138e-05,10.000000000000002,-3.1622776601683795,1.0540925533894598,-4.2424242424242406e-06,0.8600000000000001,0.14298407059685195,1.1,0.7,0.8706319543871567,-1.162824061571697,0.3192815376040209,1.2634500657333407,-0.03636363636363636,4.89,0.5043147165543661,5.7,4.1,4.913349163249036,-0.7025868531548167,-0.12162410950125267,1.1601048105099003,-0.0054545454545452945,34.68000000000001,0.04216370213565449,34.7,34.6,34.68002306804308,1.406249999999246,-1.7787811838444605,1.0005760357170965,0.009696969696971437,0.6666666666666552,0.5897678246195637,-0.06270444935205077,-0.2499999999995189,0.3931785497463787,-0.0069671610391221295,-0.16666666666645916,0.4406910447026581,-0.33174440134975686,-0.010450741559005413
B16-MTV-06,2025-05-31 14:24:29.163877,0.18,0.04216370213557879,0.2,0.1,0.18439088914585777,1.4062499999999956,-1.778781183844712,1.0846522890932808,-0.004848484848484845,9e-05,3.1622776601684005e-05,0.0001,0.0,9.486832980505138e-05,10.000000000000007,-3.1622776601683817,1.0540925533894598,-3.030303030303029e-06,0.8400000000000001,0.11737877907773168,1.0,0.7,0.8473488065725945,-1.4566299985134532,0.041223036356638675,1.1801515411874572,-0.018181818181818205,4.7700000000000005,0.4270050741306272,5.4,4.1,4.787170354186281,-1.181386350582463,-0.16954103254488231,1.128015006877249,0.027272727272727233,34.690000000000005,0.03162277660178794,34.7,34.6,34.690012972035625,9.999999999996879,-3.1622776601677898,1.0002878934629522,0.005454545454546564,0.6666666666666552,0.6286185570936792,-0.22217143437511713,-0.16666666666498767,0.4190790380624523,-0.10697143136579976,-0.11111111111056644,0.11527581743212095,0.11973686801610803,0.5513143001114501
B16-MTV-06,2025-05-31 14:35:05.518432,0.19,0.03162277660168428,0.2,0.1,0.19235384061671348,9.999999999999991,-3.1622776601683786,1.0397504898200725,-0.005454545454545437,8.999999999999999e-05,3.1622776601684005e-05,0.0001,0.0,9.486832980505138e-05,10.000000000000002,-3.1622776601683795,1.0540925533894598,-4.2424242424242406e-06,0.8600000000000001,0.09660917830793435,1.0,0.7,0.8648699324175861,-0.021865889212819845,-0.8132915520820648,1.1562432251572008,0.007272727272727344,4.720000000000001,0.7927448797970268,6.4,4.0,4.779539726793784,1.3892071298389297,1.5619016467895983,1.3390410721187278,0.21212121212121215,34.660000000000004,0.05163977794946575,34.7,34.6,34.66003462202541,-2.276785714285212,-0.48412291827654624,1.0011530680338443,-0.014545454545454764,-0.11111111111110761,-0.14547859349065637,-0.7446176505728138,0.4082482904638489,-0.14547859349065206,-0.5230052545690042,0.40824829046382644,0.33078096022168335,0.0890870806364137,-0.71111685105929
